id,S,V,O,sentence
1240,A Spanish official,who had finished,a siesta,"A Spanish official , who had just finished a siesta and seemed not the least bit tense , offered what he believed to be a perfectly reasonable explanation for why the portable facilities were n't in service ."
1590,The current El Nino,complicated and vaguely understood series of phenomena that affect weather around,the globe,"The current El Nino , a complicated and vaguely understood series of phenomena that affect weather around the globe , is either the weather event of the century or an event whose bluster ca n't come close to living up to the super-hype preceding it ."
1564,The current El Nino,affect weather around,the globe,"The current El Nino , a complicated and vaguely understood series of phenomena that affect weather around the globe , is either the weather event of the century or an event whose bluster ca n't come close to living up to the super-hype preceding it ."
1086,a complicated and vaguely understood series of phenomena,is either,the weather event of the century,"The current El Nino , a complicated and vaguely understood series of phenomena that affect weather around the globe , is either the weather event of the century or an event whose bluster ca n't come close to living up to the super-hype preceding it ."
1750,an event,ca n't come close to living up to,the super-hype,"The current El Nino , a complicated and vaguely understood series of phenomena that affect weather around the globe , is either the weather event of the century or an event whose bluster ca n't come close to living up to the super-hype preceding it ."
291,a complicated and vaguely understood series of phenomena,affect,weather,"The current El Nino , a complicated and vaguely understood series of phenomena that affect weather around the globe , is either the weather event of the century or an event whose bluster ca n't come close to living up to the super-hype preceding it ."
1046,a complicated and vaguely understood series of phenomena,affect weather around,the globe,"The current El Nino , a complicated and vaguely understood series of phenomena that affect weather around the globe , is either the weather event of the century or an event whose bluster ca n't come close to living up to the super-hype preceding it ."
930,The current El Nino,is,the weather event of the century,"The current El Nino , a complicated and vaguely understood series of phenomena that affect weather around the globe , is either the weather event of the century or an event whose bluster ca n't come close to living up to the super-hype preceding it ."
2444,he,has eased,on team rules,And he has eased up on team rules .
2464,he,has eased up,on team rules,And he has eased up on team rules .
564,he,has eased up on,team rules,And he has eased up on team rules .
89,she,grew up with,a megadose of New York attitude,"Jake decides to give Melanie a bit of a hard time because she 's giving him and everyone else she grew up with a megadose of New York attitude , which in this film is almost as grossly exaggerated as the Southern stuff ."
666,she,'s giving,everyone else,"Jake decides to give Melanie a bit of a hard time because she 's giving him and everyone else she grew up with a megadose of New York attitude , which in this film is almost as grossly exaggerated as the Southern stuff ."
515,Melanie,'s giving,him,"Jake decides to give Melanie a bit of a hard time because she 's giving him and everyone else she grew up with a megadose of New York attitude , which in this film is almost as grossly exaggerated as the Southern stuff ."
2044,a bit of a hard time,'s giving,she,"Jake decides to give Melanie a bit of a hard time because she 's giving him and everyone else she grew up with a megadose of New York attitude , which in this film is almost as grossly exaggerated as the Southern stuff ."
872,a bit of a hard time,'s giving,him,"Jake decides to give Melanie a bit of a hard time because she 's giving him and everyone else she grew up with a megadose of New York attitude , which in this film is almost as grossly exaggerated as the Southern stuff ."
889,a megadose of New York attitude,is exaggerated in,this film,"Jake decides to give Melanie a bit of a hard time because she 's giving him and everyone else she grew up with a megadose of New York attitude , which in this film is almost as grossly exaggerated as the Southern stuff ."
1401,she,'s giving,him,"Jake decides to give Melanie a bit of a hard time because she 's giving him and everyone else she grew up with a megadose of New York attitude , which in this film is almost as grossly exaggerated as the Southern stuff ."
1482,she,'s giving,she,"Jake decides to give Melanie a bit of a hard time because she 's giving him and everyone else she grew up with a megadose of New York attitude , which in this film is almost as grossly exaggerated as the Southern stuff ."
766,him,grew up with,a megadose of New York attitude,"Jake decides to give Melanie a bit of a hard time because she 's giving him and everyone else she grew up with a megadose of New York attitude , which in this film is almost as grossly exaggerated as the Southern stuff ."
18,Jake,decides to give,a bit of a hard time,"Jake decides to give Melanie a bit of a hard time because she 's giving him and everyone else she grew up with a megadose of New York attitude , which in this film is almost as grossly exaggerated as the Southern stuff ."
1317,a megadose of New York attitude,is exaggerated as,the Southern stuff,"Jake decides to give Melanie a bit of a hard time because she 's giving him and everyone else she grew up with a megadose of New York attitude , which in this film is almost as grossly exaggerated as the Southern stuff ."
249,Melanie,'s giving,she,"Jake decides to give Melanie a bit of a hard time because she 's giving him and everyone else she grew up with a megadose of New York attitude , which in this film is almost as grossly exaggerated as the Southern stuff ."
466,this film,is almost as grossly exaggerated as,the Southern stuff,"Jake decides to give Melanie a bit of a hard time because she 's giving him and everyone else she grew up with a megadose of New York attitude , which in this film is almost as grossly exaggerated as the Southern stuff ."
1654,she,grew with,a megadose of New York attitude,"Jake decides to give Melanie a bit of a hard time because she 's giving him and everyone else she grew up with a megadose of New York attitude , which in this film is almost as grossly exaggerated as the Southern stuff ."
52,Jake,decides to give Melanie a bit of,a hard time,"Jake decides to give Melanie a bit of a hard time because she 's giving him and everyone else she grew up with a megadose of New York attitude , which in this film is almost as grossly exaggerated as the Southern stuff ."
375,Jake,decides to give because,she,"Jake decides to give Melanie a bit of a hard time because she 's giving him and everyone else she grew up with a megadose of New York attitude , which in this film is almost as grossly exaggerated as the Southern stuff ."
2135,Melanie,'s giving,everyone else,"Jake decides to give Melanie a bit of a hard time because she 's giving him and everyone else she grew up with a megadose of New York attitude , which in this film is almost as grossly exaggerated as the Southern stuff ."
234,Jake,decides to give,Melanie,"Jake decides to give Melanie a bit of a hard time because she 's giving him and everyone else she grew up with a megadose of New York attitude , which in this film is almost as grossly exaggerated as the Southern stuff ."
893,everyone else,grew up with,a megadose of New York attitude,"Jake decides to give Melanie a bit of a hard time because she 's giving him and everyone else she grew up with a megadose of New York attitude , which in this film is almost as grossly exaggerated as the Southern stuff ."
17,a bit of a hard time,'s giving,everyone else,"Jake decides to give Melanie a bit of a hard time because she 's giving him and everyone else she grew up with a megadose of New York attitude , which in this film is almost as grossly exaggerated as the Southern stuff ."
304,he,could notice,the netting,"Sather , whose box sits high above the Garden ice behind one of the nets , said that he could hardly notice the netting ."
1245,Sather,box sits high above,the Garden ice,"Sather , whose box sits high above the Garden ice behind one of the nets , said that he could hardly notice the netting ."
1937,Sather,sits behind,one of the nets,"Sather , whose box sits high above the Garden ice behind one of the nets , said that he could hardly notice the netting ."
396,Sather,said could notice,the netting,"Sather , whose box sits high above the Garden ice behind one of the nets , said that he could hardly notice the netting ."
2287,he,could hardly notice,the netting,"Sather , whose box sits high above the Garden ice behind one of the nets , said that he could hardly notice the netting ."
756,Sather,sits high above,the Garden ice,"Sather , whose box sits high above the Garden ice behind one of the nets , said that he could hardly notice the netting ."
2470,1 percent,went to,other regions,"Eight percent went to Europe , while 1 percent went to other regions in the world ."
574,Eight percent,went went to,other regions,"Eight percent went to Europe , while 1 percent went to other regions in the world ."
1126,Eight percent,went to,1 percent,"Eight percent went to Europe , while 1 percent went to other regions in the world ."
910,Eight percent,went to while,1 percent,"Eight percent went to Europe , while 1 percent went to other regions in the world ."
1115,1 percent,went to regions in,the world,"Eight percent went to Europe , while 1 percent went to other regions in the world ."
269,Eight percent,went to,Europe,"Eight percent went to Europe , while 1 percent went to other regions in the world ."
2117,Iraq 's announcement,was,a first step,"As he left the UN building , Sabri said he hoped Iraq 's announcement was a first step toward the `` lifting of this brutal regime of sanctions '' against his country ."
1903,he,left,Iraq 's announcement,"As he left the UN building , Sabri said he hoped Iraq 's announcement was a first step toward the `` lifting of this brutal regime of sanctions '' against his country ."
1092,Sabri,said,he,"As he left the UN building , Sabri said he hoped Iraq 's announcement was a first step toward the `` lifting of this brutal regime of sanctions '' against his country ."
1859,Sabri,was,a first step,"As he left the UN building , Sabri said he hoped Iraq 's announcement was a first step toward the `` lifting of this brutal regime of sanctions '' against his country ."
1779,Iraq 's announcement,was a first step toward,the `` lifting of this brutal regime of sanctions,"As he left the UN building , Sabri said he hoped Iraq 's announcement was a first step toward the `` lifting of this brutal regime of sanctions '' against his country ."
1299,he,left,he,"As he left the UN building , Sabri said he hoped Iraq 's announcement was a first step toward the `` lifting of this brutal regime of sanctions '' against his country ."
1308,he,left,Sabri,"As he left the UN building , Sabri said he hoped Iraq 's announcement was a first step toward the `` lifting of this brutal regime of sanctions '' against his country ."
568,he,was,a first step,"As he left the UN building , Sabri said he hoped Iraq 's announcement was a first step toward the `` lifting of this brutal regime of sanctions '' against his country ."
1193,the UN building,was,a first step,"As he left the UN building , Sabri said he hoped Iraq 's announcement was a first step toward the `` lifting of this brutal regime of sanctions '' against his country ."
818,he,left,the UN building,"As he left the UN building , Sabri said he hoped Iraq 's announcement was a first step toward the `` lifting of this brutal regime of sanctions '' against his country ."
1356,Sabri,hoped,Iraq 's announcement,"As he left the UN building , Sabri said he hoped Iraq 's announcement was a first step toward the `` lifting of this brutal regime of sanctions '' against his country ."
484,he,hoped,a first step,"As he left the UN building , Sabri said he hoped Iraq 's announcement was a first step toward the `` lifting of this brutal regime of sanctions '' against his country ."
1692,he,hoped,Iraq 's announcement,"As he left the UN building , Sabri said he hoped Iraq 's announcement was a first step toward the `` lifting of this brutal regime of sanctions '' against his country ."
252,the UN building,said,he,"As he left the UN building , Sabri said he hoped Iraq 's announcement was a first step toward the `` lifting of this brutal regime of sanctions '' against his country ."
982,stable bond yields,provided support for,stocks,"A backdrop of steady economic growth , scant inflation , and stable bond yields provided support for stocks ."
916,His teammates,indeed loved,the show,His teammates indeed loved the show .
480,His teammates,loved,the show,His teammates indeed loved the show .
2047,The Revolution,gave,a 90th-minute goal,The Revolution also gave up a 90th-minute goal in a 2-2 regulation draw at D.C. United Sept. 16 but they recovered to win their final two matches .
408,The Revolution,gave up,Sept. 16,The Revolution also gave up a 90th-minute goal in a 2-2 regulation draw at D.C. United Sept. 16 but they recovered to win their final two matches .
1746,The Revolution,also gave up,a 90th-minute goal,The Revolution also gave up a 90th-minute goal in a 2-2 regulation draw at D.C. United Sept. 16 but they recovered to win their final two matches .
16,The Revolution,gave up,a 90th-minute goal,The Revolution also gave up a 90th-minute goal in a 2-2 regulation draw at D.C. United Sept. 16 but they recovered to win their final two matches .
1156,they,recovered to win,their final two matches,The Revolution also gave up a 90th-minute goal in a 2-2 regulation draw at D.C. United Sept. 16 but they recovered to win their final two matches .
750,they,have are salting,retirement,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment ."
442,they,have are salting,money,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment ."
1650,they,have enough,stuff,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment ."
2226,consumers,have decided are salting away,it,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment ."
815,consumers,have decided have,enough stuff,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment ."
1136,enough stuff,are salting for,retirement,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment ."
775,they,have,enough stuff,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment ."
45,they,are salting,entertainment,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment ."
2090,they,are salting away,it,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment ."
546,they,are salting,vacations,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment ."
577,they,are salting money away for,retirement,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment ."
851,they,are salting away,money,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment ."
8,consumers,have decided,they,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment ."
1923,enough stuff,and are salting,money,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment ."
1059,they,are salting,it,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment ."
2193,consumers,have just decided,they,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment ."
335,they,have are salting for spending,it,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment ."
359,they,have are salting for,retirement,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment ."
1832,consumers,have decided are salting away,money,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment ."
1817,they,are salting,money,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment ."
76,enough stuff,are salting for spending,it,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment ."
1231,he,said might be that,consumers,"One factor , he said , might be that consumers have just decided they have enough stuff and are salting money away for retirement or spending it on vacations or entertainment ."
2338,three scoreless innings,enabling,Seattle,"He threw three scoreless innings , enabling Seattle to climb back into the game ."
945,He,threw,three scoreless innings,"He threw three scoreless innings , enabling Seattle to climb back into the game ."
68,Seattle,to climb back into,the game,"He threw three scoreless innings , enabling Seattle to climb back into the game ."
191,Programmers,enter entered,a season,Programmers always enter a season worried about the future of specific programs ; but never before have so many of them entered a season so worried about the future of the entire business .
752,them,entered,a season,Programmers always enter a season worried about the future of specific programs ; but never before have so many of them entered a season so worried about the future of the entire business .
596,the future of specific programs,before have so many of,them,Programmers always enter a season worried about the future of specific programs ; but never before have so many of them entered a season so worried about the future of the entire business .
2031,them,entered a season so worried about,the future of the entire business,Programmers always enter a season worried about the future of specific programs ; but never before have so many of them entered a season so worried about the future of the entire business .
430,Programmers,enter,a season,Programmers always enter a season worried about the future of specific programs ; but never before have so many of them entered a season so worried about the future of the entire business .
1388,Programmers,always enter a season worried about,the future of specific programs,Programmers always enter a season worried about the future of specific programs ; but never before have so many of them entered a season so worried about the future of the entire business .
2087,a season,worried about,the future of specific programs,Programmers always enter a season worried about the future of specific programs ; but never before have so many of them entered a season so worried about the future of the entire business .
767,A spokesperson,was not available for,comment,"A spokesperson for Omega in Rio de Janeiro , was not immediately available for comment ."
1220,The Residential Internship Program,should meet,Quiriconi,"The Residential Internship Program should meet the district 's needs , too , Quiriconi said ."
1361,The Residential Internship Program,should meet,the district 's needs,"The Residential Internship Program should meet the district 's needs , too , Quiriconi said ."
1476,The Residential Internship Program,should meet district 's needs too,Quiriconi,"The Residential Internship Program should meet the district 's needs , too , Quiriconi said ."
580,Esaka,will quit to take,responsibility,"Esaka and six other top executives will quit to take responsibility for 67.28 million yen in payoffs to corporate racketeer Ryuichi Koike , 54 ."
1041,six other top executives,will quit to take,responsibility,"Esaka and six other top executives will quit to take responsibility for 67.28 million yen in payoffs to corporate racketeer Ryuichi Koike , 54 ."
1671,Ruth Brown of London,who was among crowds,Wednesday,"She 's a hard act to follow , '' said Ruth Brown of London , who was among the crowds Wednesday ."
518,Ruth Brown of London,who was among,the crowds,"She 's a hard act to follow , '' said Ruth Brown of London , who was among the crowds Wednesday ."
1385,She,'s,a hard act,"She 's a hard act to follow , '' said Ruth Brown of London , who was among the crowds Wednesday ."
2379,Ruth Brown of London,who was among,Wednesday,"She 's a hard act to follow , '' said Ruth Brown of London , who was among the crowds Wednesday ."
1198,Ruth Brown of London,was among,the crowds,"She 's a hard act to follow , '' said Ruth Brown of London , who was among the crowds Wednesday ."
773,a hard act,said Ruth Brown of,London,"She 's a hard act to follow , '' said Ruth Brown of London , who was among the crowds Wednesday ."
107,She,'s,a hard act to follow,"She 's a hard act to follow , '' said Ruth Brown of London , who was among the crowds Wednesday ."
1238,a hard act,said,Ruth Brown of London,"She 's a hard act to follow , '' said Ruth Brown of London , who was among the crowds Wednesday ."
1848,Most epidemiologists,say,the disorder,"Most epidemiologists say the disorder stems from a genetic dysfunction , probably a short circuit in the brain ."
850,the disorder,stems from,a short circuit,"Most epidemiologists say the disorder stems from a genetic dysfunction , probably a short circuit in the brain ."
12,Most epidemiologists,say stems from,a genetic dysfunction,"Most epidemiologists say the disorder stems from a genetic dysfunction , probably a short circuit in the brain ."
119,the disorder,stems from,a genetic dysfunction,"Most epidemiologists say the disorder stems from a genetic dysfunction , probably a short circuit in the brain ."
614,Most epidemiologists,say stems from genetic dysfunction,a short circuit,"Most epidemiologists say the disorder stems from a genetic dysfunction , probably a short circuit in the brain ."
139,the disorder,stems from genetic dysfunction,a short circuit,"Most epidemiologists say the disorder stems from a genetic dysfunction , probably a short circuit in the brain ."
585,Most epidemiologists,say disorder stems from,a genetic dysfunction,"Most epidemiologists say the disorder stems from a genetic dysfunction , probably a short circuit in the brain ."
1450,she,would concern with,the motives of those willing,But she would concern herself less with the motives of those willing to help than with their pitching in .
451,she,would concern,herself,But she would concern herself less with the motives of those willing to help than with their pitching in .
1151,we,see,fit,"We are going to have to do it when we see fit , '' said Bobby Brown , Netanyahu 's adviser on world Jewish affairs ."
935,we,said,Bobby Brown,"We are going to have to do it when we see fit , '' said Bobby Brown , Netanyahu 's adviser on world Jewish affairs ."
669,Congress,holds hearings to consider,anti-road-rage legislation,Congress holds hearings to consider anti-road-rage legislation .
1397,Congress,holds to consider,anti-road-rage legislation,Congress holds hearings to consider anti-road-rage legislation .
1504,I,only smoke,one,I only smoke one .
554,I,smoke,one,I only smoke one .
1063,I ' ve,'s been,a good time,I 've been here 19 years and it 's never been a good time .
626,it,'s never been,a good time,I 've been here 19 years and it 's never been a good time .
989,I,'ve been here,19 years,I 've been here 19 years and it 's never been a good time .
1755,I ' ve,been,19 years,I 've been here 19 years and it 's never been a good time .
2433,I ' ve,been here,19 years,I 've been here 19 years and it 's never been a good time .
2361,it,never been 's,a good time,I 've been here 19 years and it 's never been a good time .
2447,I ' ve,been here years and,it,I 've been here 19 years and it 's never been a good time .
1206,19 years,'s been,a good time,I 've been here 19 years and it 's never been a good time .
1627,I,'ve,19 years,I 've been here 19 years and it 's never been a good time .
1580,some conglomerates,have bumped up like,Viacom,"But some conglomerates , like Viacom and the News Corp. , have already bumped up against the limits of the rules ."
299,some conglomerates,have bumped up like,the News Corp.,"But some conglomerates , like Viacom and the News Corp. , have already bumped up against the limits of the rules ."
112,some conglomerates,have bumped up against,the limits of the rules,"But some conglomerates , like Viacom and the News Corp. , have already bumped up against the limits of the rules ."
1789,Viacom,have already bumped up against,the limits of the rules,"But some conglomerates , like Viacom and the News Corp. , have already bumped up against the limits of the rules ."
1604,person Ms. Holloman,looks less like,a tomboy,"E-mail : jsuydamstatesman.com In person Ms. Holloman looks less like a tomboy than her film roles suggest , with her hazel eyes and faint drawl her most beguiling features ."
2237,He,died to,hospital,He died en route to hospital .
1297,The benchmark 30-year bond,rose,3\/8,"The benchmark 30-year bond rose 3/8 , or $ 3.75 per $ 1,000 bond , to 96 30/32 , pushing its yield down 3 basis points to 6.61 percent ."
1686,The benchmark 30-year bond,rose per,"$ 1,000 bond","The benchmark 30-year bond rose 3/8 , or $ 3.75 per $ 1,000 bond , to 96 30/32 , pushing its yield down 3 basis points to 6.61 percent ."
1056,The benchmark 30-year bond,rose,3 / 8,"The benchmark 30-year bond rose 3/8 , or $ 3.75 per $ 1,000 bond , to 96 30/32 , pushing its yield down 3 basis points to 6.61 percent ."
2080,The benchmark 30-year bond,rose,3/8,"The benchmark 30-year bond rose 3/8 , or $ 3.75 per $ 1,000 bond , to 96 30/32 , pushing its yield down 3 basis points to 6.61 percent ."
881,It,begins life with,a $ 75 million annual debt service burden,"It begins life with a $ 75 million annual debt service burden , and a negative book value of nearly $ 300 million ."
521,Part of this indifference,is probably caused by,the unearned cynicism of the age,Part of this indifference is probably caused by the unearned cynicism of the age .
1124,Part of this indifference,is caused by,the unearned cynicism of the age,Part of this indifference is probably caused by the unearned cynicism of the age .
369,consideration,were in,place,"These immigrants `` deserve consideration under the laws that were in place when they applied '' for asylum , said Rep. Lincoln Diaz-Balart , R-Fla. , who is the lead sponsor of House legislation that would change the current law ."
1574,These immigrants,deserve,consideration,"These immigrants `` deserve consideration under the laws that were in place when they applied '' for asylum , said Rep. Lincoln Diaz-Balart , R-Fla. , who is the lead sponsor of House legislation that would change the current law ."
573,the lead sponsor of House legislation,(L-rcmod),that,"These immigrants `` deserve consideration under the laws that were in place when they applied '' for asylum , said Rep. Lincoln Diaz-Balart , R-Fla. , who is the lead sponsor of House legislation that would change the current law ."
1067,they,applied for,asylum,"These immigrants `` deserve consideration under the laws that were in place when they applied '' for asylum , said Rep. Lincoln Diaz-Balart , R-Fla. , who is the lead sponsor of House legislation that would change the current law ."
1652,These immigrants,deserve consideration under,the laws,"These immigrants `` deserve consideration under the laws that were in place when they applied '' for asylum , said Rep. Lincoln Diaz-Balart , R-Fla. , who is the lead sponsor of House legislation that would change the current law ."
2177,the laws,were in,place,"These immigrants `` deserve consideration under the laws that were in place when they applied '' for asylum , said Rep. Lincoln Diaz-Balart , R-Fla. , who is the lead sponsor of House legislation that would change the current law ."
746,they,said,Rep. Lincoln Diaz-Balart,"These immigrants `` deserve consideration under the laws that were in place when they applied '' for asylum , said Rep. Lincoln Diaz-Balart , R-Fla. , who is the lead sponsor of House legislation that would change the current law ."
1534,who,would change,the current law,"These immigrants `` deserve consideration under the laws that were in place when they applied '' for asylum , said Rep. Lincoln Diaz-Balart , R-Fla. , who is the lead sponsor of House legislation that would change the current law ."
1570,their assignments,to attempt,a big play,"In previous games , Edwards believes that defenders were pressing , trying to overcompensate for the lack of certainty about the system by leaving their assignments to attempt a big play ."
2400,Edwards,believes that,defenders,"In previous games , Edwards believes that defenders were pressing , trying to overcompensate for the lack of certainty about the system by leaving their assignments to attempt a big play ."
807,the occasional moment of reality,make,this Reese,"In a nutshell : Weird mix of redneck humor , girly fantasy and the occasional moment of reality make this Reese Witherspoon vehicle for starry-eyed romantics only ."
2380,Weird mix of redneck humor,make,this Reese Witherspoon vehicle,"In a nutshell : Weird mix of redneck humor , girly fantasy and the occasional moment of reality make this Reese Witherspoon vehicle for starry-eyed romantics only ."
